title,url,s,sp,date,timestamp
GoodData Lands $15 Million in Funding From Andreessen Horowitz,http://allthingsd.com/20110818/gooddata-lands-15-million-in-funding-from-andreessen-horowitz/,All Things Digital,"It has 2,500 customers, among them Time Warner Cable, Capgemini and Pandora Media. And many Cloud service providers - including Zendesk, Twilio, Pardot and Get Satisfaction - offer analytics apps that are built on GoodData&#39;s platform.","Aug 18, 2011",1313679623
"Citigroup Names Adams, Drury as Capital Markets Co-Heads",http://www.bloomberg.com/news/2011-07-25/citigroup-names-adams-drury-to-help-lead-equity-capital-markets.html,Bloomberg,"The firm outpaced rivals including Bank of America and Morgan Stanley as it sold shares for clients including American International Group Inc., Pandora Media Inc., and MetLife Inc., according to the data. Drury is head of the Americas equity syndicate&nbsp;...","Jul 25, 2011",1311618740
7 ways to identify an imminent market crash,http://www.marketwatch.com/story/7-ways-to-identify-an-imminent-market-crash-2011-08-01,MarketWatch,"If leading stocks such as Priceline.com Inc. PCLN, -1.13% Amazon.com Inc. AMZN, -0.42% and Apple Inc. AAPL, +0.13% start to break down and fall, this signals that the market is weakening and that the market&#39;s dynamics are changing for the worse ...","Aug 1, 2011",1312171237
"Pandora connects to Sony&#39;s in-dash receivers, adds iOS, Android and BlackBerry ...",https://www.engadget.com/2011/08/11/pandora-connects-to-sonys-in-dash-receivers-adds-ios-android/,Engadget,"The Pandora integration on the DSX-S210X and the Bluetooth® enabled DSX-S310BTX digital media players allows listeners to stream Pandora via the application on their smartphone, and transfers the Pandora-related controls to the head unit. Both models&nbsp;...","Aug 11, 2011",1313072100
SiriusXM To Get Pandora-Like Upgrade,http://mashable.com/2011/08/05/siriusxm-newfeatures/,Mashable,"SiriusXM satellite radio plans to offer personal radio channels like Pandora&#39;s that can replay, skip and ban songs, along with five hours&#39; worth of time-shifting capabilities on most channels and unspecified on-demand features.","Aug 5, 2011",1312566693
Slideshow: How This Year&#39;s 10 Biggest VC-Backed IPOs Fared In The Market Plunge,https://www.pehub.com/2011/08/slideshow-how-this-years-10-biggest-vc-backed-ipos-fared-in-the-market-plunge/,Private Equity Hub (press release),"As you are well aware by now, the stock market plunged today on fears that the U.S. economy is slipping back into a recession and European debt crisis is worsening.","Aug 5, 2011",1312579807
BookLamp Launches a Pandora For Books,http://mashable.com/2011/08/16/booklamp-launches-book-recommendation-engine/,Mashable,"You don&#39;t want a book recommendation from someone who hasn&#39;t read the book. So why, asks a new project called BookLamp, would you want to rely on an electronic recommendation based on marketing data rather than book content?","Aug 16, 2011",1313501149
"Small Firms, Big Options",http://www.wsj.com/articles/SB10001424053111904292504576480103413178320,Wall Street Journal,"LinkedIn Corp. and Pandora Media Inc., stars of Silicon Valley&#39;s current IPO boom, recently made their stock-market debuts, enriching their top executives.","Jul 31, 2011",1312154950
Jeweler&#39;s CEO Quits as Outlook Dims,http://www.wsj.com/articles/SB10001424053111903341404576483671076173148,Wall Street Journal,"Mr. Leighton, a former European chief of Wal-Mart Stores Inc. and former non-executive chairman of Royal Mail, admitted Tuesday the company had got its pricing strategy wrong and said Pandora wouldn&#39;t raise prices further this year or next as it tries ...","Aug 2, 2011",1312281662
BookLamp: Pandora For Books,http://www.huffingtonpost.com/2011/08/17/pandora-books-booklamp_n_929513.html,Huffington Post,Pandora revolutionized music listeners&#39; experiences by recommending songs you might like based on your music preferences.,"Aug 17, 2011",1313609822
Phone Data Caps: Five Things You Shouldn&#39;t Do (Too Often),http://www.pcworld.com/article/237345/phone_data_caps_five_things_you_shouldnt_do_too_often_.html,PCWorld,"One tip: If you can&#39;t bear to be away from your music, you can reduce Pandora&#39;s audio quality to conserve data. To do this, simply turn off the setting for &#39;Higher quality audio&#39;.","Aug 10, 2011",1312938082
RuPaul&#39;s Drag U: Pandora Boxx,http://www.huffingtonpost.com/john-gascot/rupauls-drag-u-pandora-bo_b_927510.html,Huffington Post (blog),Pandora Boxx&#39;s quirky charms and comedic chops won the hearts of many during the second season of RuPaul&#39;s Drag Race.,"Aug 16, 2011",1313524801
"Zombies, orphans and other perils of virtualization",https://gcn.com/articles/2011/08/02/virtualization-pitfalls-zombie-vms.aspx?sc_lang=en,GCN.com,"The above can be both the solution to all that ails agencies&#39; IT and the catalyst for new federal IT nightmares. Virtualization has been treated as a silver bullet for a host of data center problems, from overloaded servers and poor performance to ...","Aug 2, 2011",1312305372
14 Small Bags Worth Condensing All of Your Stuff For,http://www.racked.com/2011/8/14/7755161/14-small-bags-worth-condensing-all-of-your-stuff-for,Racked National,"Givenchy &quot;Pandora&quot; small shoulder bag, $1,440 at Luisaviaroma: The depth of this bag and it&#39;s double openings give you more room to store than you may initially think.","Aug 14, 2011",1313340016
Games and Cross-Media Storytelling,http://www.popmatters.com/post/145609-/,PopMatters,It should be said that a work of art that migrates across media is not a bad thing; it wouldn&#39;t make much sense to complain about the multiplicity of media in a multimedia column. There are a number of reasons to expand a game into other art forms. It ...,"Aug 1, 2011",1312214910
"Sony DSX-S310BTX brings Pandora to the car for Android, BlackBerry",https://www.cnet.com/roadshow/news/sony-dsx-s310btx-brings-pandora-to-the-car-for-android-blackberry/,CNET (blog),Pandora Internet Radio app playback and control are old hat for car audio receivers--that tech&#39;s been around since CES 2010.,"Aug 10, 2011",1312977941
"Pandora&#39;s Biggest Critic Doubles Down: Says Short The Stock, It&#39;s About To Be ...",http://www.businessinsider.com/short-pandora-2011-8,Business Insider,"BTIG analyst Rich Greenfield is reiterating his short call on Pandora (P) this morning, saying that it&#39;s about to get walloped by a number of rivals entering the space.","Aug 12, 2011",1313167670
"This Summer, a Snowball Fight Heats Up in Louisiana",http://www.wsj.com/articles/SB10001424053111904888304576476291342032926,Wall Street Journal,"The owner of Jefferson, La.-based SnoWizard Inc. calls his company the originator of the &quot;snowball&quot;—a Louisiana summer snack made of super-finely shaved ice and flavored syrup, similar to the snow cone.","Aug 1, 2011",1312166041
Review: Now You Can Play Angry Birds On a Roku 2 [PICS],http://mashable.com/2011/08/06/roku-2-xs-review/,Mashable,"The tedious part of the setup is getting the Roku acquainted with your various credentials on services such as Netflix, Hulu Plus and Pandora. Aside from its newfound gameplaying capabilities and radical design changes, the Roku 2 interface and sources ...","Aug 6, 2011",1312671539
Cloud Manager Okta Lands $16.5 Million From Greylock and Khosla Ventures,http://allthingsd.com/20110808/cloud-manager-okta-lands-16-5-million-from-greylock-and-khosla-ventures/,All Things Digital,"Customers so far include Pandora Media and Enterasys. “We thought this would be a business aimed at medium-sized companies - say, 2,000 employees or less.","Aug 8, 2011",1312815630
Jewelry Style Waits for No Man: Buy It for Yourself,http://www.wsj.com/articles/SB10001424053111903392904576512530377361912,Wall Street Journal,"&quot;The typical jeweler is based on men designing for men who feel guilty enough to buy their women jewelry,&quot; says John White, president of the North American unit of Danish jewelry maker Pandora AS. &quot;Half of sales are driven by diamond pieces, and the&nbsp;...","Aug 18, 2011",1313634247
Reputation And The “Right To Be Forgotten”: Spain&#39;s Radical Approach To Search ...,http://searchengineland.com/reputation-and-the-right-to-be-forgotten-spains-radical-approach-to-search-and-personal-privacy-89133,Search Engine Land,Call it “privacy 2.0.” Last year Facebook CEO Mark Zuckerberg famously (and incorrectly) said that privacy is no longer a social norm.,"Aug 11, 2011",1313073861
Online Radio: How Do the 4 Leading Services Compare?,http://mashable.com/2011/08/11/music-services-compared/,Mashable,"Last week, Pandora surpassed popular terrestrial radio stations in New York City for the first time. Online services including Pandora, Spotify, Turntable and Rdio have been rapidly growing thanks to the strength and speed of cloud computing and a ...","Aug 11, 2011",1313099775
Pandora EXPLODES -- Everyone Wants Winehouse!,http://www.tmz.com/2011/07/25/amy-winehouse-death-died-pandora-radio-station-new-record-requests-songs/,TMZ.com,"The same media thats kissing her ass, acting like they liked her music, are the same reason why shes dead. To the people thats leaving bad comments about her keep doing it, stay true to yourself.","Jul 25, 2011",1311592441
What Does an IPO Price Mean?,http://www.forbes.com/sites/cfainstitute/2011/09/16/what-does-an-ipo-price-mean/,Forbes,"Another recent example of how the IPO price can differ dramatically from secondary market value is the IPO of Pandora Media Inc (NYSE: P). Pandora debuted at $16 per share, up from estimates of $10 to $12 per share a week before. Pandora immediately&nbsp;...","Sep 16, 2011",1316177380
Bank of America to sell China bank stake for $8.3 billion,http://www.reuters.com/article/us-bankofamerica-ccb-idUSTRE77S2MO20110829,Reuters,"Satellite radio company Sirius XM Holdings Inc&#39;s Chairman Greg Maffei recently made a fresh approach to internet radio provider Pandora Media Inc and expressed interest about a potential takeover, according to a source familiar with the matter.","Aug 29, 2011",1314627039
Pandora&#39;s Profit Path Doesn&#39;t Match Stock Price,http://investorplace.com/2011/09/pandoras-profit-path-stock-price/,Investorplace.com,"The longer Pandora Media (NYSE:P) trades in the public markets, the more it seems like a company in a growing market but with its own less-than-ideal business model.","Sep 8, 2011",1315495350
MyDailyMoment.com Ranks No.3 in Media and 142nd Overall on the 2011 Inc. 500 ...,https://globenewswire.com/news-release/2011/09/08/455943/231855/en/MyDailyMoment-com-Ranks-No-3-in-Media-and-142nd-Overall-on-the-2011-Inc-500-5000-with-Three-Year-Sales-Growth-of-1952.html,GlobeNewsWire (press release),"MyDailyMoment.com joins Thrillist, Everyday Health, Pandora, Demand Media and other prominent brands featured on this year&#39;s list.","Sep 8, 2011",1315509525
Beverly Hills &#39;Housewife&#39; Sells Mega Mansion,http://www.newsmax.com/FastFeatures/real-housewives-beverly-hills/2011/09/15/id/411142/,NewsMax.com,"“Pandora wanted to get married in the house and I&#39;m sad both she and I won&#39;t live in it to savor those precious memories,” Lisa said.","Sep 15, 2011",1316104200
&#39;Real Housewives&#39; Star Sells Her $29 Million Beverly Hills Mansion,http://www.businessinsider.com/real-housewives-beverly-hills-lisa-vanderpump-house-photos-2011-9,Business Insider,"The house has a French chateau-style, and was the setting for Pandora Vanderpump&#39;s wedding to boyfriend Jason Sabo. The house was also one of the filming locations for hit Bravo show.","Sep 16, 2011",1316201563
Pandora Unleashes Redesigned Music Player With No Listening Cap,http://mashable.com/2011/09/21/pandora-redesign/,Mashable,Popular Internet radio service Pandora has unleashed a complete redesign of its web-based player and removed the 40-hour listening cap.,"Sep 21, 2011",1316619894
"Facebook Music Bad News for Pandora, but Should Apple Be Worried?",http://investorplace.com/2011/09/facebook-music-pandora-apple-itunes/,Investorplace.com,"Facebook Music will be supported by Spotify, the U.K.-based Pandora (NYSE:P) competitor that only just opened its own service in the U.S.","Sep 12, 2011",1315853957
RENN Global Entrepreneurs Fund: Much Risk And Much Appeal,http://seekingalpha.com/article/291733-renn-global-entrepreneurs-fund-much-risk-and-much-appeal,Seeking Alpha,"The largest is holding is PHC, Inc (PHC), which is approximately 17% of assets. PHC is traded on the NYSE-Amex, and has announced an agreement to merge with Acadia Healthcare Company (NASDAQ:ACAD), a private company, which is six times larger&nbsp;...","Sep 6, 2011",1315313009
"Pound for pound, Pandora ads now worth more than radio",https://gigaom.com/2011/08/25/pandora-ads-traditional-radio/,GigaOm,Internet radio company Pandora (s P) reported the financial results for its first three months as a public company on Thursday.,"Aug 25, 2011",1314314393
"Clear Channel&#39;s Pittman: iHeartRadio app is not about Pandora, kinda",http://blogs.reuters.com/mediafile/2011/09/13/clear-channel-ceo-iheartradio-app-is-not-about-pandora-kinda/,Reuters Blogs (blog),When Pandora shares took a dive last week several people pointed out that its dip came soon after the number one U.S. radio company Clear Channel Inc launched a customized radio application announced with a press release which didn&#39;t shy away from ...,"Sep 13, 2011",1315934775
The Brand New And Blazing Fast Pandora Launches Today With UNLIMITED MUSIC,http://www.businessinsider.com/pandora-new-release-screenshots-2011-9,Business Insider,"Today Pandora announced the public availability of its brand new website, which includes added functionality, a visual facelift, big time speed upgrades, and unlimited hours of listening for the first time ever.","Sep 21, 2011",1316620349
Apple TV vs. Roku 2: What&#39;s the best streaming-media device for under $100?,https://www.cnet.com/news/apple-tv-vs-roku-2-whats-the-best-streaming-media-device-for-under-100/,CNET,"Key Roku services not on Apple TV: Amazon, Hulu Plus, Crackle, MLS MatchDay Live, UFC, Al Jazeera English, FoxNews.com, Pandora, Rdio, Tune In Radio, Shoutcast, MOG, Break.com, Blip.tv, MediaFly, Facebook photos, Angry Birds, and dozens of others&nbsp;...","Aug 29, 2011",1314660541
Why Sirius Offers Hype And Lacks Hope,http://seekingalpha.com/article/290798-why-sirius-offers-hype-and-lacks-hope,Seeking Alpha,SIRIUS XM Radio (NASDAQ:SIRI) offers SIRI common shareholders pure hype. SIRI common shares are void of hope based simply upon their balance sheet.,"Aug 31, 2011",1314795620
PANDORA IS REAL: Disney World Is Planning An &quot;Avatar&quot; Theme Park,http://www.businessinsider.com/avatar-theme-park-disney-world-2011-9,Business Insider,"... fee and a percentage of related merchandise and food and beverage sales. However, Fox and Mr. Cameron will not receive a percentage of entry ticket sales.","Sep 20, 2011",1316551725
"Disney World opening &#39;Avatar&#39;-themed land. James Cameron, should we be concerned?",http://www.ew.com/article/2011/09/20/avatar-disney-world,Entertainment Weekly (blog),"On one hand, it almost seems endearingly low-tech: Considering that Pandora was mostly created via greenscreen for the movie, it&#39;s actually pretty nifty to imagine seeing it rendered lovingly in real-life by Disney&#39;s gang of puppeteers, botanists, and ...","Sep 20, 2011",1316551725
How The Disney / Avatar Theme Park Deal Really Came Together,http://www.huffingtonpost.com/jim-hill/avatar-park_b_973615.html,Huffington Post,"“So here&#39;s an opportunity to use (our) animatronic technology, and all of these amazing craftsmanship and design capabilities of Imagineering, and possibly rolling in mixed-media, 3-D projections, holography. ... “Star Tours: The Adventures Continue ...","Sep 21, 2011",1316617366
"Meet Ness, the Pandora for restaurant recommendations",https://gigaom.com/2011/08/25/ness-restaurant-app/,GigaOm,"Even in a city chock full of great restaurants, it can be really tough to find a new one I&#39;ll be sure to like. I&#39;ve found that the more that sites such as Yelp or TripAdvisor get packed with reviews, the longer it can take for me to pick out a new ...","Aug 25, 2011",1314303791
"CNN acquires Zite, maker of iPad magazine app",http://www.cnn.com/2011/TECH/social.media/08/30/zite.cnn/,CNN,"The app can determine users&#39; favorite topics from which articles they choose to read and how they rate each one, similar to the way the Pandora Internet radio station customizes music playlists to listeners&#39; tastes. CNN plans to operate Zite as an ...","Aug 30, 2011",1314723825
"50 New Worlds and a Big, Pleasant Earth?",http://www.skyandtelescope.com/astronomy-news/50-new-worlds-and-a-big-pleasant-earth/,SkyandTelescope.com,You don&#39;t have to be an Avatar fan to know that habitable planets outside the solar system capture the public&#39;s imagination.,"Sep 12, 2011",1315836855
The 10 Best Wilco Songs of All Time,http://www.popmatters.com/post/148218-the-10-best-wilco-songs/,PopMatters,"With the upcoming September 27th release of Wilco&#39;s The Whole Love, the band&#39;s eighth studio record, it&#39;s worth going back and revisiting the group&#39;s impressive discography.","Sep 7, 2011",1315404172
Inside 5 Sponsor-Filled Gifting Suites at Toronto International Film Festival,http://www.bizbash.com/inside-5-sponsor-filled-gifting-suites-at-toronto-international-film-festival/toronto/story/21413/,BizBash,"The lounge, styled by Karen Sealy of Sealy Design Inc., is what Koifman calls the “ultimate pop-up” with a variety of brands that each have their own branded space.","Sep 13, 2011",1315945348
Steve Jobs Reigned in a Kingdom of Altered Landscapes,http://www.nytimes.com/2011/08/29/business/media/steve-jobs-reigned-in-a-kingdom-of-altered-landscapes.html,New York Times,"But the perspective it showed is indicative of a pattern for Apple and Mr. Jobs. Again and again, he would step up to entrenched players in the media with calcified business models and explain their business to them in ways they did not recognize from ...","Aug 27, 2011",1314479611
"What&#39;s a Sellout? Art and Commerce, Now vs. Then",http://www.popmatters.com/feature/145478-whats-a-sellout/,PopMatters,"Long Ryders&#39; guitarist Sid Griffin: “People felt, when all is said and done, that, how can this band, the Long Ryders, be these hip, cutting edge guys, rebellious, and have songs that are anti-war and questioning this and that and sign up to a big ...","Sep 13, 2011",1315893624
Angie&#39;s List files for $75 million IPO,http://money.cnn.com/2011/08/26/technology/angies_list_IPO/,CNN,"Angie&#39;s List was founded in 1995, and at the ripe age of 16 the company is much older than its fellow Internet companies who have recently filed for IPOs -- including Groupon, LinkedIn and Pandora. It has amassed around 2.2 million reviews on its website.","Aug 26, 2011",1314381600
"Run Red Run Funny Song, Serious Message",http://www.popmatters.com/feature/144718-run-red-run/,PopMatters,The 1975 + Bastille Celebrate the Holidays with Pandora. // Notes from the Road. &quot;Pandora&#39;s annual ... All rights reserved.,"Aug 30, 2011",1314684149
Real and formal subsumption,http://www.popmatters.com/post/148650-/,PopMatters,"Digital natives will be subject to “real” subsumption, in that using social media, etc., will seem like the necessary precondition for friendship.","Sep 15, 2011",1316110248
